1.013,1.25875,0.9914
1.0494,1.52181,0.985887
1.10769,1.79514,0.983975
1.18706,2.08432,0.986401
1.28729,2.39473,0.994147
1.40868,2.73169,1.00848
1.55201,3.10055,1.03102
1.7185,3.50683,1.0638
1.90979,3.95625,1.1094
2.1279,4.45485,1.17106
2.37528,5.00898,1.2528
2.65474,5.62533,1.35972
2.9695,6.31091,1.49812
3.32312,7.07296,1.67588
3.71956,7.91881,1.90277
4.16307,8.85562,2.19083
4.65815,9.89,2.55489
5.2095,11.0274,3.01298
5.82177,12.2714,3.5869
6.49942,13.6225,4.30262
7.24631,15.0764,5.1906
8.06528,16.6225,6.28577
8.95747,18.241,7.62699
9.92153,19.9001,9.25562
10.9525,21.5528,11.2128
12.0407,23.1341,13.5352
13.1701,24.5587,16.2483
14.3171,25.7214,19.3579
15.4495,26.5006,22.84
16.526,26.7676,26.6301
17.4969,26.402,30.6157
18.3068,25.3128,34.6357
18.899,23.4613,38.4892
19.2215,20.8811,41.9583
19.2346,17.6858,44.8392
18.9167,14.0601,46.9783
18.2688,10.2336,48.2988
17.3149,6.4428,48.8118
16.0986,2.89463,48.6071
14.6769,-0.259932,47.8286
13.1126,-2.93565,46.6432
11.4672,-5.10812,45.2135
9.79642,-6.79941,43.6784
8.14642,-8.06088,42.1448
6.55314,-8.95757,40.6862
5.04253,-9.55678,39.3475
3.63177,-9.92084,38.1508
2.3308,-10.1036,37.102
1.14398,-10.1492,36.1961
0.0715134,-10.0928,35.4218
-0.889313,-9.96148,34.7644
-1.74318,-9.77589,34.2079
-2.49599,-9.55153,33.7363
-3.15433,-9.30001,33.3347
-3.72511,-9.03011,32.9891
-4.21527,-8.74856,32.6874
-4.63168,-8.46061,32.4188
-4.98097,-8.17052,32.174
-5.26949,-7.88177,31.9455
-5.50332,-7.59737,31.7267
-5.68821,-7.31987,31.5125
-5.82956,-7.05155,31.2989
-5.93251,-6.79435,31.0827
-6.00184,-6.54998,30.8617
-6.04205,-6.31988,30.6345
-6.05733,-6.10524,30.4001
-6.05156,-5.907,30.1582
-6.02834,-5.72586,29.9088
-5.99099,-5.56229,29.6523
-5.94253,-5.41656,29.3893
-5.88573,-5.28875,29.1205
-5.82307,-5.17878,28.8471
-5.75681,-5.08642,28.5698
-5.68894,-5.01133,28.2899
-5.62124,-4.95309,28.0085
-5.55526,-4.91121,27.7265
-5.49238,-4.88515,27.4451
-5.43378,-4.87436,27.1653
-5.38046,-4.87828,26.8882
-5.33331,-4.89636,26.6147
-5.29304,-4.92805,26.3459
-5.26028,-4.97285,26.0826
-5.23553,-5.03027,25.8257
-5.21921,-5.09987,25.5763
-5.21165,-5.18125,25.335
-5.21311,-5.27402,25.1029
-5.22381,-5.37782,24.8808
-5.2439,-5.49235,24.6695
-5.27349,-5.61729,24.47
-5.31265,-5.75233,24.2832
-5.36142,-5.89719,24.1099
-5.4198,-6.05155,23.9512
-5.48776,-6.21507,23.8079
-5.56525,-6.38739,23.6811
-5.65218,-6.56808,23.5717
-5.74842,-6.75666,23.4807
-5.85381,-6.95255,23.4093
-5.96815,-7.15509,23.3584
-6.09118,-7.36349,23.3291
-6.2226,-7.57684,23.3224
-6.36201,-7.79407,23.3393
-6.50899,-8.01395,23.3807
-6.66299,-8.23507,23.4475
-6.82338,-8.45584,23.5403
-6.98945,-8.67446,23.6599
-7.16036,-8.88893,23.8067
-7.33514,-9.09706,23.9808
-7.51272,-9.29646,24.1821
-7.69186,-9.48459,24.4104
-7.87124,-9.65877,24.6649
-8.04935,-9.81623,24.9444
-8.22459,-9.95413,25.2474
-8.39524,-10.0697,25.5719
-8.55947,-10.1602,25.9153
-8.71538,-10.2231,26.2746
-8.86102,-10.2563,26.6463
-8.99444,-10.2577,27.0263
-9.1137,-10.2261,27.4104
-9.21696,-10.1606,27.7938
-9.30247,-10.0608,28.1716
-9.36869,-9.92739,28.5387
-9.41428,-9.76137,28.8901
-9.43818,-9.56462,29.221
-9.43965,-9.33968,29.5268
-9.41827,-9.08969,29.8033
-9.37402,-8.81832,30.047
-9.30723,-8.52968,30.2549
-9.2186,-8.22812,30.4248
-9.10921,-7.91816,30.5552
-8.98047,-7.60431,30.6455
-8.83405,-7.29097,30.6955
-8.67191,-6.98225,30.7062
-8.49616,-6.68193,30.6787
-8.30909,-6.39335,30.6148
-8.11304,-6.11939,30.5169
-7.91037,-5.8624,30.3874
-7.70344,-5.62423,30.2292
-7.49452,-5.40623,30.0451
-7.28576,-5.2093,29.838
-7.0792,-5.03394,29.6108
-6.87668,-4.88026,29.3665
-6.67988,-4.7481,29.1075
-6.49029,-4.63703,28.8366
-6.3092,-4.54646,28.5561
-6.13771,-4.47565,28.2681
-5.97675,-4.42376,27.9748
-5.82708,-4.38993,27.678
-5.68929,-4.37325,27.3793
-5.56385,-4.37287,27.0804
-5.45108,-4.38793,26.7827
-5.3512,-4.41765,26.4875
-5.26435,-4.4613,26.196
-5.19058,-4.51823,25.9093
-5.12987,-4.58786,25.6286
-5.08217,-4.66969,25.3548
-5.04737,-4.76326,25.089
-5.02535,-4.86823,24.8321
-5.01595,-4.98426,24.585
-5.01901,-5.11111,24.3487
-5.03437,-5.24856,24.1241
-5.06185,-5.3964,23.9122
-5.10128,-5.55448,23.714
-5.15249,-5.72263,23.5304
-5.2153,-5.90066,23.3625
-5.28956,-6.08838,23.2114
-5.37506,-6.28553,23.0782
-5.47164,-6.49181,22.9641
-5.57909,-6.70683,22.8702
-5.69718,-6.9301,22.7977
-5.82566,-7.16102,22.748
-5.96424,-7.39882,22.7223
